identifier,title,date,type,publication_type,url,preferred_url,dossier_number,dossier_title
kst-28155-3,Interdepartementaal Beleidsonderzoek: Energiesubsidies; Verslag algemeen overleg op 24 januari 2002,2002-02-18,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28155/kst-28155-3/1/pdf/kst-28155-3.pdf,,28155,Interdepartementaal Beleidsonderzoek: Energiesubsidies
kst-26534-4,Trajectnota A7 Zuidelijke Ringweg Groningen; Brief minister bij het aanbieden van het ontwerp-tracébesluit voor de A7 zuidelijke ringweg Groningen,2002-06-28,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/26534/kst-26534-4/1/pdf/kst-26534-4.pdf,,26534,Trajectnota A7 Zuidelijke Ringweg Groningen
kst-27435-4,Trajectnota/MER VERA (Verbinding Roosendaal-Antwerpen); Brief minister bij aanbieding afschrift brief minister aan haar Belgische collega over Memorandum goederenspoorverbinding Roosendaal - Antwerpen,2002-04-03,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27435/kst-27435-4/1/pdf/kst-27435-4.pdf,,27435,Trajectnota/MER VERA (Verbinding Roosendaal–Antwerpen)
kst-28336-4,"Raming der voor de Tweede Kamer in 2003 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten; Artikelsgewijze toelichting",2002-04-23,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28336/kst-28336-4/1/pdf/kst-28336-4.pdf,,28336,"Raming der voor de Tweede Kamer in 2003 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten"
kst-28380-74,"Financiële verantwoordingen over het jaar 2001; Lijst van vragen en antwoorden over de Financiële verantwoording van het Rijk (kamerstuk 28280, nr. 1)",2002-06-19,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28380/kst-28380-74/1/pdf/kst-28380-74.pdf,,28380,Financiële verantwoordingen over het jaar 2001
kst-28043-58,Verslagen van de commissie voor de Verzoekschriften; Verslag over adres van M. Smit en W. Smit-van Houwelingen te Spijkenisse betreffende een betalingsregeling voor belastingaanslagen,2002-03-07,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28043/kst-28043-58/1/pdf/kst-28043-58.pdf,,28043,Verslagen van de commissie voor de Verzoekschriften
kst-21501-19-51,Gezondheidsraad; Verslag algemeen overleg op 8 november 2001,2001-12-14,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/21501-19/kst-21501-19-51/1/pdf/kst-21501-19-51.pdf,,21501-19,Gezondheidsraad
kst-20012002-00047-212b,"Raming der voor de Eerste Kamer in 2003 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten; Brief minister met het concept-kabinetsstandpunt over het begrotingsvoorstel van de Eerste Kamer",2002-03-01,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20012002-00047/kst-20012002-00047-212b/1/pdf/kst-20012002-00047-212b.pdf,,00047,"Raming der voor de Eerste Kamer in 2003 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten."
kst-27615-7,Wijziging bepalingen Wet verontreiniging oppervlaktewateren i.v.m. zuivering van stedelijk afvalwater en andere redenen; Tweede nota van wijziging,2001-11-21,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27615/kst-27615-7/1/pdf/kst-27615-7.pdf,,27615,Wijziging van enige bepalingen van de Wet verontreiniging oppervlaktewateren in verband met de zuivering van stedelijk afvalwater en toekenning bevoegdheid aan waterschapsbesturen tot vergunningverlening
kst-27433-8,Interdepartementaal Beleidsonderzoek: Medefinancieringsprogramma; Lijst van vragen en antwoorden over het beleidskader thematische medefinanciering,2002-04-11,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27433/kst-27433-8/1/pdf/kst-27433-8.pdf,,27433,Interdepartementaal Beleidsonderzoek: Medefinancieringsprogramma
